293,01/10/2012,High,Barry French,27,8.69,244.57,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Cardinal Slant-D® Ring Binder  Heavy Gauge Vinyl,Small Box,03/10/2012
483,10/07/2011,High,Clay Rozendal,30,195.99,4965.7595,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,12/07/2011
515,28/08/2010,Not Specified,Carlos Soltero,19,21.78,394.27,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,30/08/2010
515,28/08/2010,Not Specified,Carlos Soltero,21,6.64,146.69,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,30/08/2010
613,17/06/2011,High,Carl Jackson,12,7.3,93.54,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Angle-D Binders with Locking Rings  Label Holders,Small Box,17/06/2011
613,17/06/2011,High,Carl Jackson,22,42.76,905.08,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,SAFCO Mobile Desk Side File  Wire Frame,Small Box,18/06/2011
643,24/03/2011,High,Monica Federle,21,138.14,2781.82,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,SAFCO Commercial Wire Shelving  Black,Large Box,25/03/2011
678,26/02/2010,Low,Dorothy Badders,44,4.98,228.41,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,26/02/2010
807,23/11/2010,Medium,Neola Schneider,45,4.28,196.85,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,24/11/2010
807,23/11/2010,Medium,Neola Schneider,32,3.95,124.56,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,24/11/2010
868,08/06/2012,Not Specified,Carlos Daly,32,21.78,716.84,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,09/06/2012
868,08/06/2012,Not Specified,Carlos Daly,31,47.98,1474.33,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,DS/HD IBM Formatted Diskettes  200/Pack - Staples,Small Pack,10/06/2012
933,04/08/2012,Not Specified,Claudia Miner,15,5.28,80.61,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,Wilson Jones 1  Hanging DublLock® Ring Binders,Small Box,04/08/2012
995,30/05/2011,Medium,Neola Schneider,46,39.89,1815.49,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,31/05/2011
